#################### ###################################################################################################################################################
### Graball v1.0 ### ###################################################################################################################################################
#################### ###################################################################################################################################################

System component loaded: Graball.Output.Console v1.0
System component loaded: Graball.Output.File v1.0
System component loaded: Graball.Input.CommandLine v1.0
System component loaded: Graball.Input.Console v1.0
System component loaded: Graball.Input.File v1.0
System component loaded: Graball.Module.Domains v1.0

Available modules:
 1) Internet domains

Choose or input blank to exit: 1) Internet domains

Operations:
 1) Local database
 2) Domain Availability
 3) Consult WHOIS
 4) Consult WHOIS with Dictionary
 5) Consult WHOIS with Brute Force
 6) Services on the Internet

Choose or input blank to exit: 2) Domain Availability

Enter a domain name to verify:
> drone

To pause use [P], to stop use [ESC].

 Updated         | Status         | Domain Name
 2022-06-24      | Available      | drone.tf
 2022-06-24      | Available      | drone.th
 2022-06-24      | Available      | drone.tj
 2022-06-24      | Available      | drone.tk
 2022-06-24      | Available      | drone.tl
 2022-06-24      | Available      | drone.tm
 2022-06-24      | Available      | drone.tn
 2022-06-24      | Available      | drone.to
 2022-06-24      | Registered     | drone.top
 2022-06-24      | Available      | drone.tp
 2022-06-24      | Available      | drone.tr
 2022-06-24      | Registered     | drone.travel
 2022-06-24      | Registered     | drone.tw
 2022-06-24      | Registered     | drone.tv
 2022-06-24      | Available      | drone.tz
 2022-06-24      | Available      | drone.ua
 2022-06-24      | Available      | drone.ug
 2022-06-24      | Registered     | drone.uk
 2022-06-24      | Registered     | drone.uk.com
 2022-06-24      | Registered     | drone.uk.net
 2022-06-24      | Available      | drone.ac.uk
 2022-06-24      | Available      | drone.gov.uk
 2022-06-24      | Registered     | drone.us
 2022-06-24      | Registered     | drone.us.com
 2022-06-24      | Available      | drone.uy
 2022-06-24      | Available      | drone.uy.com
 2022-06-24      | Registered     | drone.uz
 2022-06-24      | Available      | drone.va
 2022-06-24      | Registered     | drone.vc
 2022-06-24      | Available      | drone.ve
 2022-06-24      | Available      | drone.vg
 2022-06-24      | Available      | drone.vu
 2022-06-24      | Registered     | drone.wang
 2022-06-24      | Available      | drone.wf
 2022-06-24      | Available      | drone.wiki
 2022-06-24      | Registered     | drone.ws
 2022-06-24      | Registered     | drone.xxx
 2022-06-24      | Registered     | drone.xyz
 2022-06-24      | Available      | drone.yu
 2022-06-24      | Registered     | drone.za.com

Enter a domain name to verify:
> (blank)

Operations:
 1) Local database
 2) Domain Availability
 3) Consult WHOIS
 4) Consult WHOIS with Dictionary
 5) Consult WHOIS with Brute Force
 6) Services on the Internet

Choose or input blank to exit: (blank)

Available modules:
 1) Internet domains

Choose or input blank to exit: (blank)

Finished.
